Player,Team,GP,Wins,Losses,oiGF,GA,TeamGP,TeamW,TeamL,TeamGF,TeamGA
Anthony Stolarz,ANA,1,0,1,1,2,71,29,42,182,225
Ryan Miller,ANA,23,9,10,57,64,71,29,42,182,225
John Gibson,ANA,51,20,31,116,149,71,29,42,182,225
Antti Raanta,ARI,33,15,17,85,80,70,33,37,190,183
Darcy Kuemper,ARI,29,16,13,77,65,70,33,37,190,183
Adin Hill,ARI,13,2,7,26,28,70,33,37,190,183
Tuukka Rask,BOS,41,26,14,127,85,70,44,26,227,167
Jaroslav Halak,BOS,31,18,12,95,73,70,44,26,227,167
Linus Ullmark,BUF,34,17,17,93,91,69,30,39,193,215
Jonas Johansson,BUF,6,1,4,10,16,69,30,39,193,215
Carter Hutton,BUF,31,12,18,80,94,69,30,39,193,215
James Reimer,CAR,25,14,8,69,61,68,38,30,217,193
Alex Nedeljkovic,CAR,4,1,3,10,11,68,38,30,217,193
Petr Mrazek,CAR,40,21,18,130,104,68,38,30,217,193
Anton Forsberg,CAR,3,1,1,5,8,68,38,30,217,193
David Ayres,CAR,1,1,0,2,2,68,38,30,217,193
Elvis Merzlikins,CBJ,33,13,17,70,71,70,33,37,180,183
Joonas Korpisalo,CBJ,37,19,17,93,92,70,33,37,180,183
Matiss Kivlenieks,CBJ,6,1,3,9,14,70,33,37,180,183
Cam Talbot,CGY,26,12,11,66,63,70,36,34,204,214
David Rittich,CGY,48,24,23,129,138,70,36,34,204,214
Corey Crawford,CHI,40,16,23,100,108,70,32,38,208,214
Adam Werner,COL,2,1,1,5,5,70,42,28,236,190
Philipp Grubauer,COL,36,18,16,116,90,70,42,28,236,190
Pavel Francouz,COL,34,21,11,103,77,70,42,28,236,190
Antoine Bibeau,COL,2,1,0,6,5,70,42,28,236,190
Anton Khudobin,DAL,30,16,12,74,62,69,37,32,178,174
Ben Bishop,DAL,44,21,20,98,103,69,37,32,178,174
Calvin Pickard,DET,3,0,2,4,15,71,17,54,142,265
Jimmy Howard,DET,27,2,25,42,96,71,17,54,142,265
Eric Comrie,DET,3,0,2,4,9,71,17,54,142,265
Jonathan Bernier,DET,46,15,25,83,126,71,17,54,142,265
Mike Smith,EDM,39,19,18,116,106,71,37,34,223,215
Mikko Koskinen,EDM,38,18,16,101,97,71,37,34,223,215
Sam Montembeault,FLA,14,5,6,32,39,69,35,34,228,224
Chris Driedger,FLA,12,7,3,33,22,69,35,34,228,224
Sergei Bobrovsky,FLA,50,23,25,151,151,69,35,34,228,224
Jonathan Quick,LAK,42,16,26,99,117,70,29,41,177,209
Calvin Petersen,LAK,8,5,3,26,21,70,29,41,177,209
Alex Stalock,MIN,38,20,15,118,97,69,35,34,218,217
Kaapo Kahkonen,MIN,5,3,2,18,15,69,35,34,218,217
Devan Dubnyk,MIN,30,12,17,81,93,69,35,34,218,217
Cayden Primeau,MTL,2,1,1,5,5,71,31,40,208,220
Carey Price,MTL,58,27,31,164,160,71,31,40,208,220
Charlie Lindgren,MTL,6,2,4,13,20,71,31,40,208,220
Keith Kinkaid,MTL,6,1,4,17,24,71,31,40,208,220
Gilles Senn,NJD,2,0,1,2,4,69,28,41,185,224
Cory Schneider,NJD,13,3,8,30,40,69,28,41,185,224
Mackenzie Blackwood,NJD,47,22,22,118,124,69,28,41,185,224
Juuse Saros,NSH,40,17,16,94,98,69,35,34,212,214
Pekka Rinne,NSH,36,18,18,115,105,69,35,34,212,214
Semyon Varlamov,NYI,45,19,20,101,110,68,35,33,189,190
Thomas Greiss,NYI,31,16,13,78,73,68,35,33,189,190
Igor Shesterkin,NYR,12,10,2,48,29,70,37,33,233,220
Henrik Lundqvist,NYR,30,10,15,82,84,70,37,33,233,220
Alexandar Georgiev,NYR,34,17,16,95,96,70,37,33,233,220
Anders Nilsson,OTT,20,9,11,52,58,71,25,46,190,238
Marcus Hogberg,OTT,24,5,16,53,70,71,25,46,190,238
Craig Anderson,OTT,34,11,19,82,100,71,25,46,190,238
Alex Lyon,PHI,3,1,1,7,8,69,41,28,227,191
Carter Hart,PHI,43,24,16,119,95,69,41,28,227,191
Brian Elliott,PHI,31,16,11,90,80,69,41,28,227,191
Matt Murray,PIT,38,20,16,114,107,69,40,29,221,196
Tristan Jarry,PIT,33,20,13,101,78,69,40,29,221,196
Martin Jones,SJS,41,17,23,99,118,70,29,41,180,225
Aaron Dell,SJS,33,12,18,72,92,70,29,41,180,225
Jordan Binnington,STL,50,30,20,150,126,71,42,29,223,190
Jake Allen,STL,24,12,9,67,48,71,42,29,223,190
Andrei Vasilevskiy,TBL,52,35,17,180,133,70,43,27,243,194
Curtis McElhinney,TBL,18,8,10,51,52,70,43,27,243,194
Kasimir Kaskisuo,TOR,1,0,1,1,6,70,36,34,237,222
Frederik Andersen,TOR,52,29,20,168,143,70,36,34,237,222
Jacob Markstrom,VAN,43,23,20,129,117,69,36,33,224,214
Thatcher Demko,VAN,27,13,12,83,78,69,36,33,224,214
Marc-Andre Fleury,VEG,49,27,21,150,133,71,39,32,224,209
Oscar Dansk,VEG,1,0,1,2,6,71,39,32,224,209
Connor Hellebuyck,WPG,58,31,26,160,140,71,37,34,213,201
Laurent Brossoit,WPG,19,6,8,49,54,71,37,34,213,201
Ilya Samsonov,WSH,26,16,8,86,60,69,41,28,236,212
Braden Holtby,WSH,48,25,20,138,142,69,41,28,236,212
